year,month,day_of_week,season,time_of_day,country,area_type,population_density_per_sqkm,crime_type,crime_severity_score,victim_count,victim_gender,victim_age_group,injuries_reported,fatalities,financial_loss_usd,weapon_used,suspect_status,case_status,reporting_method,response_time_minutes,officers_assigned,investigation_duration_days,repeat_offender,gang_related,drug_related,cctv_coverage,lighting_condition,prior_incidents_same_location,safety_index,crime_resolved
2020,5,Saturday,Autumn,Late Night (2am-6am),Mexico,Urban,1885,Domestic Violence,5.2,3,Female,18-25,3,0,10.33,Firearm,At Large,Pending Trial,Police Station,24.9,2,13,No,No,No,Full Coverage,Partially Lit,5,58.5,Yes
2022,12,Friday,Winter,Evening (6pm-10pm),USA,Suburban,715,Theft,2.3,1,Male,Under 18,0,0,120.11,Unknown,At Large,Closed - Solved,Emergency Call,19.8,3,18,No,No,No,No Coverage,Poorly Lit,2,69.5,No
2022,11,Tuesday,Autumn,Night (10pm-2am),Canada,Suburban,456,Robbery,8.0,1,Female,36-45,3,1,93.82,Blunt Object,Acquitted,Pending Trial,Police Station,11.9,3,19,No,No,No,Partial Coverage,Poorly Lit,0,37.1,No
2021,10,Saturday,Summer,Late Night (2am-6am),Nigeria,Urban,4085,Vandalism,1.2,1,Unknown,46-55,0,0,35.21,,At Large,Closed - Unsolved,Online Portal,20.2,2,55,Unknown,No,No,No Coverage,Partially Lit,2,31.1,No
2024,9,Wednesday,Winter,Afternoon (12pm-6pm),UK,Suburban,1586,Domestic Violence,6.8,2,Female,26-35,2,0,188.39,Blunt Object,Under Investigation,Open - Active,Emergency Call,34.2,3,129,No,Yes,Yes,No Coverage,Well Lit,1,37.0,No
2024,12,Tuesday,Spring,Night (10pm-2am),Australia,Rural,98,Assault,5.7,1,Female,Under 18,3,0,66.24,Blunt Object,Convicted,Open - Active,Online Portal,85.0,3,21,No,No,No,No Coverage,Poorly Lit,3,79.8,No
2023,10,Monday,Autumn,Evening (6pm-10pm),Germany,Remote,45,Vandalism,1.9,2,Female,36-45,0,0,86.77,,Acquitted,Closed - Solved,Online Portal,49.5,3,4,No,Unknown,Yes,Partial Coverage,Well Lit,3,68.2,No
2022,6,Saturday,Summer,Late Night (2am-6am),India,Suburban,242,Theft,2.4,2,Male,56-65,0,0,1530.56,Firearm,Under Investigation,Open - Active,Emergency Call,46.6,2,46,No,No,No,Full Coverage,Well Lit,1,72.3,Yes
2024,3,Wednesday,Spring,Evening (6pm-10pm),India,Urban,2791,Theft,2.7,1,Male,26-35,0,0,30.01,Vehicle,Acquitted,Closed - Unsolved,Anonymous Tip,45.8,4,7,Yes,Unknown,No,No Coverage,No Lighting,2,46.1,Yes
2020,4,Friday,Summer,Morning (6am-12pm),India,Suburban,370,Burglary,6.5,2,Male,36-45,0,0,211.42,,Under Investigation,Closed - Solved,Police Station,66.1,3,21,No,No,No,Full Coverage,No Lighting,1,59.2,No
2023,4,Thursday,Winter,Afternoon (12pm-6pm),India,Suburban,704,Theft,3.9,2,Male,18-25,0,0,59.27,Firearm,At Large,Closed - Solved,Emergency Call,22.8,5,152,No,No,No,Partial Coverage,Partially Lit,3,71.3,No
2020,1,Sunday,Autumn,Afternoon (12pm-6pm),Pakistan,Rural,209,Burglary,6.8,2,Female,56-65,0,0,189.06,,Under Investigation,Closed - Solved,Police Station,99.6,3,8,No,Unknown,No,Partial Coverage,No Lighting,2,80.1,No
2023,3,Saturday,Summer,Late Night (2am-6am),UK,Suburban,251,Drug Offense,4.1,1,Male,36-45,0,0,88.66,Firearm,At Large,Closed - Solved,Emergency Call,29.1,2,17,No,No,No,Full Coverage,Well Lit,7,47.6,No
2021,3,Sunday,Winter,Morning (6am-12pm),USA,Suburban,143,Vandalism,3.4,4,Male,26-35,0,0,9.76,Chemical,Unknown,Open - Active,Emergency Call,13.5,2,10,No,No,No,Partial Coverage,Poorly Lit,0,68.2,No
2024,1,Saturday,Spring,Evening (6pm-10pm),South Africa,Urban,2692,Kidnapping,8.4,3,Male,46-55,5,0,54.9,Unknown,Arrested,Open - Active,Police Station,9.0,2,8,No,No,No,No Coverage,Well Lit,3,43.6,No
2024,9,Wednesday,Winter,Evening (6pm-10pm),USA,Remote,30,Domestic Violence,5.8,1,Female,Under 18,4,0,9.36,Knife,Convicted,Closed - Solved,Emergency Call,36.1,2,18,No,No,No,No Coverage,Well Lit,2,89.4,Yes
2020,11,Tuesday,Winter,Evening (6pm-10pm),Australia,Suburban,155,Fraud,5.9,1,Male,36-45,0,0,443.61,,Arrested,Closed - Unsolved,Police Station,99.7,2,25,No,No,No,Partial Coverage,Well Lit,1,55.5,No
2022,1,Wednesday,Winter,Night (10pm-2am),USA,Rural,38,Robbery,8.1,1,Female,56-65,4,0,1701.26,Firearm,Unknown,Open - Active,Community Report,27.1,3,105,No,No,Unknown,Full Coverage,Well Lit,2,65.7,No
2024,9,Tuesday,Summer,Night (10pm-2am),USA,Urban,444,Robbery,7.4,5,Female,56-65,1,0,931.46,Firearm,At Large,Closed - Solved,Community Report,17.6,1,19,No,No,No,Full Coverage,Well Lit,1,54.2,No
2022,1,Saturday,Spring,Morning (6am-12pm),France,Suburban,834,Kidnapping,8.4,3,Male,36-45,8,0,15.28,,Convicted,Closed - Solved,Emergency Call,23.3,2,54,No,No,No,Partial Coverage,Well Lit,3,51.0,No
2024,2,Monday,Summer,Night (10pm-2am),Egypt,Urban,6201,Assault,6.3,2,Female,18-25,4,0,148.26,Knife,At Large,Open - Active,Police Station,20.4,3,182,No,No,No,Partial Coverage,Partially Lit,1,57.8,No
2023,2,Sunday,Summer,Evening (6pm-10pm),Australia,Urban,4722,Fraud,4.3,1,Male,46-55,0,0,2101.54,,At Large,Closed - Unsolved,Police Station,5.7,4,238,No,Unknown,No,No Coverage,No Lighting,0,71.8,No
2022,6,Monday,Summer,Afternoon (12pm-6pm),Pakistan,Suburban,172,Fraud,4.9,2,Female,46-55,0,0,4494.7,,Unknown,Closed - Unsolved,Emergency Call,35.5,5,18,No,No,No,Full Coverage,Poorly Lit,4,82.0,No
2021,7,Saturday,Winter,Night (10pm-2am),Egypt,Urban,1654,Burglary,6.7,1,Unknown,36-45,0,0,1160.79,Firearm,Unknown,Open - Cold Case,Police Station,16.2,4,159,No,No,No,Partial Coverage,No Lighting,2,36.0,No
2021,11,Saturday,Autumn,Evening (6pm-10pm),Mexico,Remote,29,Cybercrime,4.2,1,Female,36-45,0,0,132719.66,Knife,Arrested,Open - Active,Police Station,48.9,1,58,Unknown,Unknown,No,Full Coverage,Well Lit,3,68.4,No
2023,1,Friday,Spring,Night (10pm-2am),Indonesia,Remote,55,Theft,3.2,1,Unknown,46-55,0,0,268.47,,Unknown,Closed - Solved,Emergency Call,71.7,4,115,No,No,Unknown,Partial Coverage,Well Lit,2,61.1,No
2022,3,Saturday,Winter,Late Night (2am-6am),Egypt,Rural,84,Domestic Violence,6.8,1,Male,26-35,4,0,402.35,Vehicle,Arrested,Open - Active,Police Station,69.2,5,11,No,No,No,Partial Coverage,Poorly Lit,4,37.5,No
2022,2,Wednesday,Spring,Night (10pm-2am),France,Urban,714,Burglary,6.3,1,Male,65+,0,0,141.23,Chemical,Arrested,Open - Cold Case,Police Station,19.0,3,22,Yes,No,Yes,Full Coverage,No Lighting,0,31.7,No
2022,8,Saturday,Winter,Evening (6pm-10pm),India,Urban,611,Fraud,5.9,2,Male,46-55,0,0,2485.1,,At Large,Open - Active,Police Station,29.2,6,49,Yes,No,No,Full Coverage,Poorly Lit,1,27.0,No
2023,9,Thursday,Spring,Afternoon (12pm-6pm),France,Rural,32,Assault,5.1,1,Female,46-55,1,0,91.24,Blunt Object,Convicted,Closed - Solved,Police Station,117.4,5,7,No,Unknown,Yes,No Coverage,Partially Lit,3,68.7,No
2024,2,Saturday,Autumn,Night (10pm-2am),USA,Urban,3507,Burglary,6.1,1,Female,46-55,0,0,239.65,Knife,Convicted,Closed - Solved,Police Station,37.7,5,16,No,Unknown,No,Full Coverage,Well Lit,5,28.9,No
2024,2,Friday,Winter,Afternoon (12pm-6pm),Australia,Suburban,810,Drug Offense,5.4,1,Male,36-45,0,0,69.24,,Unknown,Open - Cold Case,Emergency Call,27.3,8,9,Unknown,No,Unknown,Full Coverage,Well Lit,2,33.4,No
2022,10,Sunday,Spring,Evening (6pm-10pm),Canada,Rural,62,Drug Offense,5.6,1,Female,56-65,0,0,117.8,Blunt Object,Unknown,Open - Active,Police Station,38.2,4,22,No,No,Yes,Partial Coverage,Well Lit,2,65.1,No
2024,9,Wednesday,Autumn,Night (10pm-2am),Mexico,Suburban,832,Domestic Violence,6.7,3,Unknown,46-55,4,0,78.24,Knife,Arrested,Closed - Solved,Police Station,55.3,4,26,No,No,No,Full Coverage,Poorly Lit,1,60.9,No
2023,4,Tuesday,Spring,Evening (6pm-10pm),Australia,Urban,738,Domestic Violence,7.2,3,Male,26-35,4,0,118.68,Knife,At Large,Open - Cold Case,Online Portal,34.8,4,541,Unknown,Unknown,No,Partial Coverage,Well Lit,3,67.8,No
2023,5,Saturday,Winter,Evening (6pm-10pm),South Africa,Suburban,793,Domestic Violence,7.5,1,Male,18-25,2,0,109.42,Unknown,Arrested,Open - Active,Emergency Call,6.4,2,43,No,No,Yes,Full Coverage,Poorly Lit,2,62.4,No
2024,11,Sunday,Spring,Night (10pm-2am),Nigeria,Rural,37,Theft,3.9,3,Male,36-45,0,0,599.61,Firearm,Convicted,Closed - Solved,Police Station,38.9,1,7,No,Unknown,No,No Coverage,Partially Lit,4,74.4,No
2021,9,Wednesday,Autumn,Night (10pm-2am),USA,Urban,2351,Theft,3.7,1,Male,18-25,0,0,352.48,Knife,At Large,Open - Cold Case,Community Report,29.0,1,38,No,No,No,Full Coverage,Well Lit,4,61.3,No
2020,6,Sunday,Spring,Evening (6pm-10pm),Brazil,Remote,47,Sexual Assault,8.1,3,Male,36-45,1,0,80.49,Vehicle,Convicted,Closed - Unsolved,Emergency Call,22.6,5,2,No,No,No,Full Coverage,Partially Lit,1,72.6,Yes
2024,10,Thursday,Summer,Night (10pm-2am),Brazil,Suburban,190,Cybercrime,3.4,2,Female,26-35,0,0,1485.66,Unknown,Arrested,Open - Active,Police Station,57.4,3,72,No,Unknown,Yes,Partial Coverage,No Lighting,3,75.0,Yes
2022,12,Tuesday,Spring,Afternoon (12pm-6pm),Germany,Suburban,564,Fraud,6.8,1,Female,56-65,0,0,23007.17,,Arrested,Open - Active,Anonymous Tip,13.9,2,77,No,No,No,Full Coverage,Poorly Lit,5,84.4,Yes
2024,9,Friday,Autumn,Afternoon (12pm-6pm),France,Rural,185,Theft,3.4,1,Male,26-35,0,0,218.29,,Arrested,Open - Active,Police Station,65.0,3,7,No,No,No,Partial Coverage,Partially Lit,3,52.0,No
2024,9,Wednesday,Autumn,Evening (6pm-10pm),Pakistan,Suburban,555,Vandalism,2.7,1,Unknown,18-25,0,0,98.43,,At Large,Closed - Unsolved,Community Report,37.5,1,51,No,No,No,Partial Coverage,Well Lit,2,31.7,No
2020,7,Friday,Autumn,Morning (6am-12pm),South Africa,Urban,1280,Fraud,6.0,1,Male,26-35,0,0,29429.44,Knife,Arrested,Closed - Solved,Online Portal,16.0,3,25,No,No,No,Full Coverage,Well Lit,6,50.6,Yes
2024,12,Wednesday,Autumn,Morning (6am-12pm),USA,Urban,1020,Robbery,6.2,1,Male,56-65,3,0,761.86,,At Large,Closed - Unsolved,Online Portal,16.3,5,15,Unknown,Yes,No,No Coverage,Poorly Lit,2,34.8,No
2022,10,Friday,Summer,Night (10pm-2am),Turkey,Urban,2875,Burglary,6.6,1,Female,36-45,0,0,548.16,,Acquitted,Closed - Unsolved,Online Portal,19.2,3,143,Unknown,No,No,Partial Coverage,Poorly Lit,2,22.0,No
2022,9,Saturday,Autumn,Afternoon (12pm-6pm),UK,Urban,4633,Theft,4.4,4,Female,36-45,0,0,3275.11,,Acquitted,Closed - Unsolved,Community Report,18.2,3,20,Yes,No,No,Full Coverage,Well Lit,1,52.7,No
2023,5,Saturday,Spring,Afternoon (12pm-6pm),Turkey,Rural,62,Theft,4.3,1,Male,36-45,0,0,494.0,Firearm,Under Investigation,Closed - Solved,Police Station,19.7,2,45,No,No,Yes,Full Coverage,Poorly Lit,4,82.9,Yes
2024,5,Sunday,Autumn,Evening (6pm-10pm),USA,Urban,938,Murder,8.0,1,Female,18-25,3,3,101.53,,At Large,Closed - Solved,Emergency Call,49.6,4,23,No,No,No,Full Coverage,Partially Lit,3,20.2,Yes
2020,12,Tuesday,Spring,Evening (6pm-10pm),Pakistan,Urban,1497,Burglary,5.6,1,Male,65+,0,0,2959.45,,Unknown,Open - Cold Case,Police Station,10.6,3,131,Yes,Yes,No,Partial Coverage,Well Lit,1,71.0,No
2022,8,Tuesday,Winter,Afternoon (12pm-6pm),Mexico,Urban,3379,Assault,5.2,2,Female,26-35,0,0,102.5,,Arrested,Open - Cold Case,Emergency Call,22.1,3,25,No,No,No,No Coverage,Poorly Lit,2,76.8,Yes
2023,10,Tuesday,Spring,Night (10pm-2am),Mexico,Urban,2242,Burglary,5.7,1,Male,46-55,0,0,443.93,Firearm,Convicted,Closed - Unsolved,Police Station,8.3,2,17,Unknown,Unknown,No,Full Coverage,Partially Lit,3,59.3,Yes
2023,4,Friday,Autumn,Morning (6am-12pm),Mexico,Rural,60,Robbery,8.2,1,Female,36-45,0,0,222.91,,Convicted,Closed - Solved,Emergency Call,45.7,6,32,No,No,No,Full Coverage,Well Lit,1,58.6,No
2023,9,Friday,Spring,Evening (6pm-10pm),Brazil,Suburban,1173,Murder,8.2,1,Female,65+,4,1,18.09,Blunt Object,Under Investigation,Closed - Solved,Emergency Call,18.6,2,9,No,No,No,No Coverage,Well Lit,2,43.8,Yes
2020,7,Saturday,Autumn,Afternoon (12pm-6pm),Germany,Suburban,256,Theft,4.1,1,Female,Under 18,0,0,59.96,Firearm,Under Investigation,Closed - Unsolved,Anonymous Tip,25.0,8,226,Unknown,No,Unknown,Partial Coverage,Partially Lit,2,47.1,No
2021,7,Friday,Spring,Evening (6pm-10pm),UK,Rural,73,Theft,3.3,2,Male,Under 18,0,0,112.68,,Under Investigation,Open - Cold Case,Emergency Call,73.4,2,145,No,No,No,Partial Coverage,Partially Lit,4,50.4,Yes
2022,3,Saturday,Winter,Afternoon (12pm-6pm),Pakistan,Suburban,250,Fraud,6.2,2,Male,46-55,0,0,3211.34,Knife,Unknown,Closed - Solved,Police Station,40.9,6,26,No,No,Yes,Partial Coverage,Poorly Lit,1,42.8,No
2024,4,Sunday,Winter,Evening (6pm-10pm),South Africa,Rural,199,Burglary,5.6,1,Unknown,36-45,0,0,492.78,Unknown,At Large,Closed - Solved,Anonymous Tip,26.8,3,15,Yes,No,No,Partial Coverage,Well Lit,4,77.7,No
2021,7,Saturday,Winter,Evening (6pm-10pm),India,Suburban,106,Fraud,4.3,1,Male,36-45,0,0,5074.53,,At Large,Open - Active,Emergency Call,32.0,1,20,No,Unknown,Unknown,Full Coverage,Partially Lit,1,38.4,Yes
2021,11,Friday,Winter,Late Night (2am-6am),Brazil,Suburban,272,Fraud,4.3,1,Male,56-65,0,0,1091.91,Firearm,Under Investigation,Open - Active,Emergency Call,30.2,8,10,No,No,No,Partial Coverage,Well Lit,3,53.7,No
2024,11,Sunday,Winter,Morning (6am-12pm),India,Urban,818,Cybercrime,5.7,2,Female,26-35,0,0,976.09,,Unknown,Closed - Unsolved,Police Station,11.9,2,18,Yes,Yes,Yes,Partial Coverage,Partially Lit,0,73.1,No
2020,5,Tuesday,Autumn,Evening (6pm-10pm),USA,Urban,1049,Fraud,4.8,1,Female,26-35,0,0,336112.25,Firearm,Arrested,Closed - Solved,Emergency Call,20.6,5,18,No,No,No,Full Coverage,Poorly Lit,3,52.4,No
2024,12,Friday,Spring,Evening (6pm-10pm),Canada,Urban,2877,Theft,3.2,2,Female,36-45,0,0,178.76,,Arrested,Open - Active,Online Portal,35.4,3,9,Yes,No,No,Partial Coverage,Partially Lit,3,64.5,No
2023,3,Wednesday,Spring,Late Night (2am-6am),UK,Suburban,148,Cybercrime,3.1,1,Male,56-65,0,0,5872.5,,Arrested,Pending Trial,Police Station,19.5,2,100,Unknown,Unknown,No,No Coverage,Partially Lit,2,50.0,No
2024,1,Sunday,Spring,Evening (6pm-10pm),Nigeria,Urban,512,Fraud,4.5,1,Male,Under 18,0,0,15516.02,,Under Investigation,Closed - Solved,Online Portal,25.9,1,29,No,No,No,Partial Coverage,No Lighting,4,69.0,No
2021,7,Thursday,Summer,Evening (6pm-10pm),Nigeria,Rural,112,Theft,4.5,2,Male,26-35,0,0,702.8,Unknown,Acquitted,Closed - Solved,Police Station,37.1,2,54,Yes,No,No,Partial Coverage,Partially Lit,4,52.3,No
2020,6,Monday,Spring,Morning (6am-12pm),South Africa,Rural,75,Extortion,7.3,1,Male,18-25,0,0,2047.68,,Convicted,Open - Active,Emergency Call,41.0,3,24,No,No,Unknown,Full Coverage,Poorly Lit,2,66.7,Yes
2023,10,Thursday,Spring,Night (10pm-2am),UK,Suburban,74,Extortion,5.7,1,Male,18-25,0,0,542.3,,Arrested,Open - Active,Community Report,26.0,3,10,Unknown,Yes,No,No Coverage,Partially Lit,3,43.5,No
2024,7,Saturday,Winter,Evening (6pm-10pm),Australia,Urban,2325,Burglary,5.2,1,Male,36-45,0,0,100.14,Firearm,Unknown,Closed - Unsolved,Emergency Call,18.8,2,19,No,No,No,No Coverage,Partially Lit,2,39.4,No
2023,2,Monday,Summer,Morning (6am-12pm),Pakistan,Urban,1071,Robbery,6.6,1,Female,26-35,4,0,241.59,,At Large,Pending Trial,Police Station,24.8,2,17,No,No,No,Full Coverage,Well Lit,1,30.7,No
2020,12,Saturday,Spring,Night (10pm-2am),Pakistan,Suburban,324,Domestic Violence,7.9,1,Male,18-25,3,0,47.51,Unknown,Unknown,Closed - Solved,Community Report,31.2,2,86,Yes,No,No,Partial Coverage,Partially Lit,2,70.1,No
2023,4,Sunday,Spring,Evening (6pm-10pm),Mexico,Urban,4198,Domestic Violence,6.8,1,Male,65+,1,0,52.47,Firearm,At Large,Open - Active,Police Station,10.9,2,123,Unknown,Unknown,No,Full Coverage,Well Lit,2,75.1,No
2023,2,Saturday,Autumn,Night (10pm-2am),Brazil,Urban,2122,Burglary,6.3,1,Male,46-55,0,0,169.73,Knife,Arrested,Pending Trial,Emergency Call,8.9,3,9,Yes,Unknown,No,Partial Coverage,Poorly Lit,3,74.3,Yes
2023,8,Saturday,Autumn,Late Night (2am-6am),India,Suburban,602,Robbery,8.1,2,Male,26-35,2,0,226.6,Unknown,At Large,Closed - Solved,Emergency Call,33.5,3,28,No,Yes,Yes,Full Coverage,Poorly Lit,1,75.3,Yes
2023,7,Wednesday,Spring,Night (10pm-2am),France,Urban,456,Drug Offense,6.6,1,Male,36-45,0,0,218.48,,At Large,Closed - Solved,Anonymous Tip,18.4,3,31,No,No,Unknown,Partial Coverage,Well Lit,6,32.6,Yes
2024,1,Saturday,Winter,Night (10pm-2am),Brazil,Suburban,173,Sexual Assault,9.8,1,Female,26-35,0,0,53.15,Unknown,Arrested,Open - Active,Emergency Call,17.0,2,19,Unknown,No,No,Full Coverage,Well Lit,4,66.8,No
2023,2,Saturday,Autumn,Late Night (2am-6am),Pakistan,Suburban,1026,Domestic Violence,5.1,1,Male,18-25,4,0,27.54,Firearm,Under Investigation,Open - Cold Case,Police Station,37.5,1,22,Unknown,No,No,Partial Coverage,Poorly Lit,1,51.2,No
2020,2,Sunday,Autumn,Afternoon (12pm-6pm),Egypt,Urban,762,Trafficking,10.0,1,Male,Under 18,0,0,421.13,Knife,At Large,Pending Trial,Police Station,11.5,3,33,Yes,No,No,Partial Coverage,Partially Lit,4,36.0,Yes
2022,4,Wednesday,Autumn,Evening (6pm-10pm),India,Suburban,331,Drug Offense,6.6,1,Female,46-55,0,0,953.54,Knife,Unknown,Closed - Solved,Emergency Call,14.4,8,9,No,Yes,No,Partial Coverage,Poorly Lit,2,61.9,No
2020,3,Wednesday,Autumn,Evening (6pm-10pm),Australia,Urban,1910,Assault,6.1,1,Female,Under 18,0,0,21.04,,Under Investigation,Open - Cold Case,Police Station,30.1,4,38,Unknown,No,No,Full Coverage,Well Lit,1,60.0,No
2022,1,Saturday,Winter,Evening (6pm-10pm),India,Rural,165,Cybercrime,5.5,1,Female,46-55,0,0,1758.48,Blunt Object,Arrested,Pending Trial,Online Portal,21.6,5,46,No,No,No,Partial Coverage,Well Lit,1,40.5,Yes
2022,12,Thursday,Spring,Afternoon (12pm-6pm),Germany,Suburban,234,Assault,7.2,1,Female,36-45,3,0,916.23,Firearm,At Large,Open - Active,Emergency Call,16.9,1,9,Yes,No,Yes,Full Coverage,Well Lit,2,38.9,No
2020,2,Thursday,Autumn,Morning (6am-12pm),India,Urban,5180,Burglary,6.4,1,Female,26-35,0,0,2117.58,Knife,Under Investigation,Closed - Unsolved,Emergency Call,52.5,1,134,No,Unknown,No,Partial Coverage,Poorly Lit,2,31.6,Yes
2022,11,Wednesday,Spring,Evening (6pm-10pm),Turkey,Suburban,201,Vandalism,1.7,1,Female,46-55,0,0,76.84,Unknown,Unknown,Closed - Unsolved,Emergency Call,16.8,4,29,No,No,Unknown,No Coverage,Poorly Lit,5,38.3,No
2020,9,Sunday,Spring,Night (10pm-2am),USA,Rural,87,Robbery,7.9,2,Male,18-25,1,0,726.7,Unknown,Acquitted,Closed - Solved,Community Report,67.7,3,128,No,Yes,No,Partial Coverage,Partially Lit,2,53.9,No
2024,1,Friday,Winter,Evening (6pm-10pm),Germany,Urban,2906,Theft,2.1,1,Male,18-25,0,0,110.24,Chemical,At Large,Closed - Solved,Police Station,31.9,5,39,No,Yes,No,Partial Coverage,Poorly Lit,3,52.4,No
2024,9,Wednesday,Summer,Night (10pm-2am),USA,Suburban,235,Theft,4.5,2,Male,36-45,0,0,64.58,,At Large,Closed - Unsolved,Emergency Call,34.6,3,32,No,No,Yes,No Coverage,Poorly Lit,2,58.2,No
2020,7,Friday,Winter,Night (10pm-2am),UK,Suburban,310,Vandalism,3.9,1,Male,Under 18,0,0,28.33,Firearm,Unknown,Pending Trial,Police Station,19.5,1,88,Yes,No,No,Partial Coverage,Poorly Lit,1,67.4,No
2024,2,Monday,Winter,Afternoon (12pm-6pm),Indonesia,Rural,131,Sexual Assault,9.0,1,Female,18-25,3,0,88.31,Knife,Arrested,Open - Active,Emergency Call,25.5,3,44,Yes,Yes,No,Full Coverage,Well Lit,0,58.1,No
2022,2,Thursday,Spring,Night (10pm-2am),India,Urban,1174,Drug Offense,5.5,1,Female,65+,0,0,91.73,Knife,Unknown,Closed - Solved,Police Station,8.4,4,9,No,No,Yes,Partial Coverage,Partially Lit,2,58.8,Yes
2021,5,Saturday,Autumn,Late Night (2am-6am),UK,Remote,17,Vandalism,3.2,2,Female,46-55,0,0,49.75,Blunt Object,Convicted,Closed - Solved,Emergency Call,50.4,3,36,Yes,Yes,No,Partial Coverage,Partially Lit,2,81.7,No
2020,5,Monday,Summer,Morning (6am-12pm),USA,Urban,3793,Theft,3.0,1,Male,26-35,0,0,2986.39,,Arrested,Closed - Unsolved,Emergency Call,12.6,2,52,No,Yes,Yes,No Coverage,Poorly Lit,1,61.5,No
2022,4,Monday,Spring,Morning (6am-12pm),Australia,Remote,18,Burglary,5.9,1,Male,18-25,0,0,552.38,,Under Investigation,Pending Trial,Emergency Call,211.7,6,17,No,Unknown,No,Partial Coverage,Partially Lit,1,84.8,No
2023,12,Friday,Autumn,Late Night (2am-6am),USA,Suburban,560,Fraud,5.9,2,Unknown,26-35,0,0,260.89,Unknown,At Large,Closed - Unsolved,Police Station,38.9,4,118,Yes,No,No,No Coverage,Poorly Lit,4,78.8,No
2023,10,Sunday,Winter,Late Night (2am-6am),Germany,Rural,64,Fraud,3.6,4,Female,36-45,0,0,345.41,,Arrested,Closed - Unsolved,Police Station,87.1,3,26,Yes,No,No,Full Coverage,Well Lit,1,34.1,No
2020,10,Sunday,Summer,Evening (6pm-10pm),Australia,Rural,60,Cybercrime,3.4,1,Female,18-25,0,0,1685.55,,Arrested,Closed - Solved,Police Station,54.5,3,39,No,No,No,Partial Coverage,Poorly Lit,2,49.7,No
2020,12,Thursday,Spring,Afternoon (12pm-6pm),Pakistan,Suburban,262,Trafficking,9.4,1,Male,46-55,0,0,1024.89,,Under Investigation,Closed - Solved,Police Station,76.0,3,30,Unknown,No,No,Full Coverage,Partially Lit,1,80.8,No
2022,3,Friday,Winter,Afternoon (12pm-6pm),Brazil,Rural,108,Theft,3.3,2,Female,65+,0,0,394.85,,Arrested,Open - Active,Emergency Call,26.1,3,84,No,Yes,No,Full Coverage,Well Lit,1,52.8,Yes
2021,4,Tuesday,Spring,Night (10pm-2am),India,Urban,1702,Drug Offense,6.7,2,Male,46-55,0,0,119.55,Firearm,Arrested,Open - Cold Case,Community Report,15.8,2,75,No,No,No,Full Coverage,Partially Lit,3,67.0,No
2021,10,Saturday,Autumn,Afternoon (12pm-6pm),India,Urban,2324,Cybercrime,3.9,1,Unknown,26-35,0,0,7402.9,Knife,Acquitted,Closed - Unsolved,Emergency Call,22.3,2,29,No,No,Yes,Partial Coverage,Partially Lit,2,38.2,No
2021,4,Thursday,Summer,Night (10pm-2am),Australia,Rural,30,Assault,5.1,1,Unknown,26-35,2,0,49.66,,At Large,Closed - Unsolved,Emergency Call,66.6,2,14,Yes,No,No,Partial Coverage,Partially Lit,7,68.3,No
2024,2,Saturday,Winter,Afternoon (12pm-6pm),Pakistan,Urban,924,Assault,6.9,3,Unknown,18-25,1,0,487.84,,Unknown,Pending Trial,Emergency Call,46.7,4,9,No,No,No,Partial Coverage,Partially Lit,1,31.5,No
2024,5,Saturday,Summer,Afternoon (12pm-6pm),Australia,Rural,169,Burglary,6.1,1,Female,18-25,0,0,267.07,Firearm,Acquitted,Closed - Solved,Police Station,66.9,5,22,Unknown,No,No,No Coverage,Partially Lit,5,51.6,No
2022,5,Thursday,Winter,Night (10pm-2am),Canada,Urban,4838,Drug Offense,5.7,1,Male,18-25,0,0,57.3,Knife,Under Investigation,Open - Active,Emergency Call,13.5,4,35,Unknown,No,No,No Coverage,Partially Lit,0,55.6,Yes
2024,5,Friday,Winter,Evening (6pm-10pm),Egypt,Rural,51,Burglary,6.0,1,Female,36-45,0,0,136.69,,Under Investigation,Closed - Solved,Emergency Call,22.4,3,27,Yes,No,Yes,Partial Coverage,Poorly Lit,2,63.4,No
2021,11,Saturday,Spring,Afternoon (12pm-6pm),Brazil,Urban,5785,Cybercrime,4.6,5,Male,26-35,0,0,5533.72,Knife,At Large,Closed - Solved,Emergency Call,27.4,2,25,Unknown,No,Yes,Full Coverage,Partially Lit,0,46.5,No
2022,11,Saturday,Summer,Afternoon (12pm-6pm),India,Urban,669,Burglary,6.1,1,Female,26-35,0,0,614.83,Unknown,Arrested,Pending Trial,Police Station,12.1,8,14,Yes,No,No,No Coverage,Partially Lit,4,62.2,No
2021,10,Friday,Autumn,Late Night (2am-6am),Pakistan,Urban,2060,Vandalism,1.1,1,Female,46-55,0,0,238.74,,Arrested,Closed - Solved,Emergency Call,42.4,4,7,No,Yes,Unknown,No Coverage,Well Lit,1,57.7,Yes
2023,1,Sunday,Winter,Evening (6pm-10pm),UK,Rural,144,Robbery,7.1,1,Female,65+,2,0,188.42,Blunt Object,At Large,Open - Active,Police Station,50.3,4,29,Unknown,No,No,Full Coverage,Well Lit,0,58.4,Yes
2024,6,Sunday,Summer,Evening (6pm-10pm),Mexico,Urban,1914,Assault,5.6,1,Female,18-25,2,0,163.79,Knife,Arrested,Open - Active,Emergency Call,32.3,4,11,No,Yes,Yes,Full Coverage,Poorly Lit,1,68.1,No
